Синий
Красный
Желтый
Зеленый
Оранжевый
Белый
Черный
Сереневый
Пурпурный
Фиолетовый
Голубой
Вишневый
Арбузный
Серый
Коричневый
Розовый
Бурый
Бесцветный
Прозрачный
